iter	Passed	Remaining
0	77	3811
1	102	2451
2	121	1901
3	140	1621
4	154	1393
5	193	1416
6	229	1408
7	272	1433
8	311	1417
9	328	1313
10	370	1314
11	409	1296
12	447	1274
13	464	1194
14	495	1155
15	521	1108
16	539	1047
17	566	1007
18	587	958
19	616	924
20	643	889
21	674	858
22	703	826
23	720	780
24	747	747
25	780	720
26	807	687
27	825	648
28	852	617
29	875	583
30	902	552
31	920	517
32	946	487
33	972	457
34	997	427
35	1025	398
36	1038	364
37	1051	331
38	1079	304
39	1107	276
40	1135	249
41	1165	221
42	1193	194
43	1220	166
44	1246	138
45	1272	110
46	1287	82
47	1314	54
48	1344	27
49	1356	0
