user_id,age,gender,city_tier,device_os,platform,income_band,activity_segment,interest_1,interest_2,interest_3,country,signup_days_ago,is_premium
u_00001,31,F,tier_1,Windows,desktop_web,mid,active,delivery,music,flights,RU,251,0
u_00002,18,F,tier_1,Android,mobile_app,mid,active,coffee,fitness,cycling,RU,353,0
u_00003,18,M,tier_2,iOS,mobile_app,mid,active,snacks,weekend_trips,books,RU,945,0
u_00004,49,F,tier_2,Windows,desktop_web,mid,casual,healthy,design,luxury,RU,748,0
u_00005,36,F,tier_2,Android,mobile_app,mid,active,investing,design,garden,RU,271,1
u_00006,20,F,tier_3,macOS,desktop_web,mid,active,cards,luxury,flights,RU,1018,0
u_00007,20,M,tier_2,Android,mobile_app,low,casual,coffee,makeup,fitness,RU,946,0
u_00008,33,F,tier_3,iOS,mobile_app,mid,casual,business,garden,gaming,RU,779,0
u_00009,39,U,tier_2,iOS,mobile_app,mid,active,coding,football,makeup,RU,350,0
u_00010,36,F,tier_2,iOS,mobile_app,mid,casual,weekend_trips,restaurants,wellness,RU,152,0
u_00011,34,F,tier_2,Windows,desktop_web,mid,active,decor,luxury,weekend_trips,RU,1021,0
u_00012,41,F,tier_1,Windows,desktop_web,low,active,wellness,snacks,school,RU,207,1
u_00013,18,F,tier_2,Android,mobile_web,mid,casual,sportswear,business,luxury,RU,773,0
u_00014,44,M,tier_3,Android,mobile_app,mid,active,delivery,garden,shoes,RU,679,0
u_00015,46,F,tier_3,Android,mobile_app,mid,casual,streaming,insurance,decor,RU,253,0
u_00016,18,F,tier_3,Android,mobile_app,high,active,gaming,weekend_trips,running,RU,646,1
u_00017,34,F,tier_1,Android,mobile_web,mid,active,makeup,accessories,decor,RU,308,0
u_00018,52,F,tier_1,iOS,mobile_web,mid,casual,music,weekend_trips,outdoor,RU,934,0
u_00019,38,M,tier_3,Android,mobile_app,mid,active,cinema,design,fitness,RU,981,0
u_00020,23,M,tier_1,Android,mobile_app,mid,casual,weekend_trips,cards,insurance,RU,846,0
u_00021,33,F,tier_2,Android,mobile_app,mid,new,casual,fitness,design,RU,272,1
u_00022,21,F,tier_1,Android,mobile_web,mid,power,shoes,running,car_rental,RU,1006,1
u_00023,55,F,tier_1,Android,mobile_app,mid,power,delivery,gaming,language,RU,995,0
u_00024,45,F,tier_2,Android,mobile_app,low,casual,wearables,shoes,appliances,RU,1078,0
u_00025,22,F,tier_1,Android,mobile_web,high,casual,shoes,skincare,wearables,RU,163,0
u_00026,40,M,tier_3,iOS,mobile_app,mid,casual,books,shoes,running,RU,349,0
u_00027,37,M,tier_2,iOS,mobile_app,mid,active,fitness,music,accessories,RU,325,0
u_00028,39,F,tier_1,iOS,mobile_web,low,new,cinema,wallets,investing,RU,237,0
u_00029,41,M,tier_1,Android,mobile_app,mid,active,repair,insurance,events,RU,901,0
u_00030,36,M,tier_3,Windows,desktop_web,low,active,healthy,music,language,RU,86,0
u_00031,18,M,tier_3,macOS,desktop_web,mid,new,makeup,fitness,repair,RU,420,1
u_00032,26,F,tier_1,Android,mobile_app,mid,active,coding,insurance,wellness,RU,21,0
u_00033,18,F,tier_3,Windows,desktop_web,low,new,hotels,snacks,audio,RU,925,0
u_00034,52,U,tier_1,Android,mobile_app,mid,casual,language,sportswear,fitness,RU,775,0
u_00035,47,F,tier_1,Android,mobile_app,low,active,wellness,cards,language,RU,136,0
u_00036,47,F,tier_2,Android,mobile_app,mid,power,flights,gaming,sportswear,RU,974,0
u_00037,33,M,tier_2,iOS,mobile_app,mid,casual,smartphones,streaming,shoes,RU,850,0
u_00038,20,M,tier_3,Android,mobile_web,mid,casual,shoes,music,events,RU,158,0
u_00039,37,F,tier_1,Windows,desktop_web,mid,casual,fragrance,wearables,hotels,RU,870,0
u_00040,18,F,tier_1,Android,mobile_app,mid,active,insurance,delivery,hotels,RU,555,0
u_00041,32,F,tier_2,iOS,mobile_web,low,power,smartphones,flights,audio,RU,1012,0
u_00042,52,M,tier_1,macOS,desktop_web,high,active,streaming,music,running,RU,19,0
u_00043,42,M,tier_1,Android,mobile_app,low,casual,haircare,football,gaming,RU,425,1
u_00044,35,F,tier_3,macOS,desktop_web,low,casual,insurance,events,car_rental,RU,139,0
u_00045,33,F,tier_1,iOS,mobile_app,mid,active,design,insurance,appliances,RU,455,0
u_00046,21,U,tier_2,Android,mobile_app,mid,casual,coding,laptops,restaurants,RU,587,0
u_00047,31,F,tier_2,iOS,mobile_app,mid,casual,music,cinema,car_rental,RU,790,1
u_00048,19,F,tier_1,Android,mobile_app,high,active,sportswear,audio,restaurants,RU,56,0
u_00049,38,F,tier_2,Android,mobile_web,low,new,shoes,fitness,language,RU,376,1
u_00050,18,F,tier_1,macOS,desktop_web,low,casual,cards,language,outdoor,RU,727,0
u_00051,31,M,tier_2,Android,mobile_web,low,active,casual,accessories,delivery,RU,57,0
u_00052,44,M,tier_1,Android,mobile_web,mid,casual,luxury,sportswear,delivery,RU,652,0
u_00053,44,M,tier_2,Android,mobile_app,high,new,streaming,flights,investing,RU,918,0
u_00054,23,M,tier_1,Windows,desktop_web,low,power,business,furniture,music,RU,278,0
u_00055,21,M,tier_1,Windows,desktop_web,low,new,events,restaurants,shoes,RU,575,0
u_00056,37,M,tier_2,macOS,desktop_web,low,active,wearables,laptops,healthy,RU,434,0
u_00057,47,M,tier_1,macOS,desktop_web,high,casual,audio,design,gaming,RU,835,1
